Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed
44,Champion,Echo Bolt,Sunken,2,0,5,1
45,Champion,Vigor Flask,Sunken,2,2,12,1
46,Dancer,Echo Bolt,Sunken,2,0,6,1
47,Titan,Lava Cake,Sunken,2,1,14,1
48,Champion,Vigor Flask,Sunken,2,0,1,1
49,Dancer,Echo Bolt,Sunken,2,2,10,1
50,Champion,Vigor Flask,Sunken,2,0,0,1
51,Dancer,Bandage,Sunken,2,2,53,1
52,Champion,Vigor Flask,Sunken,2,0,24,1
53,Dancer,Echo Bolt,Sunken,2,0,8,0
54,Spectre,Echo Bolt,Sunken,2,2,25,1
55,Spectre,Vigor Flask,Sunken,2,4,63,1
56,Champion,Vigor Flask,Sunken,2,0,19,1
57,Spectre,Echo Bolt,Sunken,2,0,0,1
58,Hexblade,Spring Plume,Sunken,2,0,7,1
59,Spectre,Echo Bolt,Sunken,2,0,0,1
60,Hexblade,Spring Plume,Sunken,2,1,4,1
61,Spectre,Echo Bolt,Sunken,2,2,56,1
62,Dancer,Echo Bolt,Sunken,2,0,2,1
63,Dancer,Echo Bolt,Sunken,2,0,5,1
64,Spectre,Hedge Seed,Sunken,2,0,6,1
65,Hexblade,Spring Plume,Sunken,2,3,34,1
66,Dancer,Echo Bolt,Sunken,2,0,2,1
67,Spectre,Hedge Seed,Sunken,2,2,36,1
68,Spectre,Echo Bolt,Sunken,2,1,55,1
69,Dancer,Echo Bolt,Sunken,2,0,8,1
70,Artillery,Vigor Flask,Sunken,2,1,2,1
71,Hexblade,Spring Plume,Sunken,2,0,2,1
72,Dancer,Echo Bolt,Sunken,2,2,34,1
73,Artillery,Vigor Flask,Sunken,2,1,10,1
74,Hexblade,Spring Plume,Sunken,2,1,39,1
75,Spectre,Echo Bolt,Sunken,2,1,44,1
76,Artillery,Vigor Flask,Sunken,2,0,0,1
77,Hexblade,Spring Plume,Sunken,2,1,4,1
78,Ranger,Hedge Seed,Sunken,2,0,25,1
79,Dancer,Echo Bolt,Sunken,2,1,16,1
80,Hexblade,Spring Plume,Sunken,2,2,25,1
81,Spectre,Echo Bolt,Sunken,2,0,10,1
82,Ranger,Hedge Seed,Sunken,2,3,68,1
83,Dancer,Echo Bolt,Sunken,2,0,16,1
84,Spectre,Echo Bolt,Sunken,2,1,4,1
85,Hexblade,Spring Plume,Sunken,2,1,43,1
86,Dancer,Echo Bolt,Sunken,2,0,0,0
87,Ranger,Hedge Seed,Sunken,2,1,58,0
88,Spectre,Echo Bolt,Sunken,2,1,0,1
89,Spectre,Echo Bolt,Sunken,2,0,0,0
90,Spectre,Echo Bolt,Fissure,3,0,79,1
91,Evincer,Vigor Flask,Fissure,3,1,55,1
92,Dancer,Echo Bolt,Fissure,3,0,14,1
93,Griefer,Lava Cake,Fissure,3,1,26,1
94,Titan,Risk-It Biscuit,Fissure,3,1,84,1
95,Evincer,Vigor Flask,Fissure,3,0,0,1
96,Evincer,Vigor Flask,Fissure,3,2,22,1
97,Griefer,Lava Cake,Fissure,3,2,48,1
98,Spectre,Echo Bolt,Fissure,3,0,5,1
99,Skirmisher,Smoke Screen,Fissure,3,2,79,0
100,Spectre,Echo Bolt,Fissure,3,0,32,0
101,Griefer,Lava Cake,Fissure,3,0,2,0
102,Hexblade,Spring Plume,Crystal,4,1,12,1
103,Spectre,Echo Bolt,Crystal,4,2,32,1
104,Titan,Risk-It Biscuit,Crystal,4,0,8,1
105,Vampire,Spring Plume,Crystal,4,1,42,1
106,Titan,Risk-It Biscuit,Crystal,4,1,8,1
107,Dancer,Smoke Screen,Crystal,4,0,7,1
108,Titan,Risk-It Biscuit,Crystal,4,0,8,1
109,Artillery,Hedge Seed,Crystal,4,0,2,1
110,Titan,Risk-It Biscuit,Crystal,4,2,21,1
111,Titan,Smoke Screen,Crystal,4,2,15,1
112,Spectre,Echo Bolt,Crystal,4,0,10,1
113,Titan,Risk-It Biscuit,Crystal,4,1,20,1
114,Vampire,Spring Plume,Crystal,4,2,13,1
115,Spectre,Echo Bolt,Crystal,4,3,79,1
116,Titan,Echo Bolt,Crystal,4,0,23,1
117,Titan,Risk-It Biscuit,Crystal,4,0,8,1
118,Vampire,Spring Plume,Crystal,4,1,29,1
119,Titan,Risk-It Biscuit,Crystal,4,0,0,1
120,Frost Knight,Bandage,Crystal,4,1,14,1
121,Titan,Risk-It Biscuit,Crystal,4,0,3,1
122,Vampire,Spring Plume,Crystal,4,5,75,1
123,Alchemist,Vigor Flask,Crystal,4,2,19,1
124,Titan,Risk-It Biscuit,Crystal,4,0,4,1
125,Spectre,Echo Bolt,Crystal,4,0,28,1
126,Titan,Risk-It Biscuit,Crystal,4,0,4,1
127,Spectre,Echo Bolt,Crystal,4,1,6,1
128,Titan,Risk-It Biscuit,Crystal,4,1,54,1
129,Artillery,Bandage,Crystal,4,2,12,1
130,Vampire,Spring Plume,Crystal,4,0,28,1
131,Spectre,Echo Bolt,Crystal,4,0,78,1
132,Titan,Risk-It Biscuit,Crystal,4,2,66,0
133,Vampire,Spring Plume,Crystal,4,1,2,1
134,Cloudbreaker,Nox Bomb,Crystal,4,0,12,0
135,Spectre,Echo Bolt,Crystal,4,0,2,0
136,Vampire,Spring Plume,Crystal,4,0,0,0
137,Spectre,Echo Bolt,Polaris,5,0,2,1
138,Evincer,Spring Plume,Polaris,5,0,4,1
139,Spectre,Lava Cake,Polaris,5,4,22,1
140,Spectre,Echo Bolt,Polaris,5,0,4,1
141,Evincer,Spring Plume,Polaris,5,1,5,1
142,Battlesmith,Echo Bolt,Polaris,5,0,4,1
143,Titan,Flame Trap,Polaris,5,0,12,1
144,Evincer,Spring Plume,Polaris,5,3,23,1
145,Battlesmith,Echo Bolt,Polaris,5,0,4,1
146,Battlesmith,Echo Bolt,Polaris,5,0,4,1
147,Griefer,Accelerator,Polaris,5,3,28,1
148,Titan,Flame Trap,Polaris,5,0,5,1
149,Alchemist,Spring Plume,Polaris,5,1,50,1
150,Titan,Flame Trap,Polaris,5,0,4,1
151,Evincer,Spring Plume,Polaris,5,3,30,1
152,Titan,Flame Trap,Polaris,5,0,2,1
153,Stargazer,Hedge Seed,Polaris,5,1,3,1
154,Titan,Flame Trap,Polaris,5,1,78,1
155,Vampire,Accelerator,Polaris,5,5,61,1
156,Evincer,Spring Plume,Polaris,5,0,2,1
157,Alchemist,Spring Plume,Polaris,5,0,11,1
158,Evincer,Spring Plume,Polaris,5,0,9,1
159,Evincer,Spring Plume,Polaris,5,1,12,1
160,Ranger,Vigor Flask,Polaris,5,0,7,1
161,Evincer,Spring Plume,Polaris,5,0,15,1
162,Skirmisher,Hedge Seed,Polaris,5,1,0,1
163,Champion,Lava Cake,Polaris,5,1,22,1
164,Evincer,Spring Plume,Polaris,5,1,26,1
165,Skirmisher,Hedge Seed,Polaris,5,1,15,1
166,Champion,Lava Cake,Polaris,5,1,53,1
167,Skirmisher,Hedge Seed,Polaris,5,2,36,1
168,Evincer,Spring Plume,Polaris,5,0,8,1
169,Evincer,Spring Plume,Polaris,5,0,27,1
170,Titan,Flame Trap,Polaris,5,5,92,0
171,Champion,Lava Cake,Polaris,5,0,10,1
172,Titan,Lava Cake,Polaris,5,5,56,1
173,Battlesmith,Nox Bomb,Polaris,5,0,8,1
174,Vampire,Accelerator,Polaris,5,0,0,1
175,Vampire,Accelerator,Polaris,5,0,1,1
176,Battlesmith,Nox Bomb,Polaris,5,1,5,1
177,Vampire,Accelerator,Polaris,5,0,6,1
178,Battlesmith,Nox Bomb,Polaris,5,1,55,1
179,Vampire,Accelerator,Polaris,5,0,3,1
180,Chronomancer,Accelerator,Polaris,5,0,12,0
181,Vampire,Accelerator,Polaris,5,0,6,0
182,Battlesmith,Nox Bomb,Polaris,5,0,0,0
183,Battlesmith,Nox Bomb,Sunken,6,0,6,1
184,Titan,Risk-It Biscuit,Sunken,6,2,5,1
185,Evincer,Flame Trap,Sunken,6,0,6,1
186,Stargazer,Bandage,Sunken,6,1,2,1
187,Hexblade,Spring Plume,Sunken,6,2,21,1
188,Evincer,Flame Trap,Sunken,6,0,2,1
189,Titan,Risk-It Biscuit,Sunken,6,1,2,1
190,Stargazer,Bandage,Sunken,6,0,0,1
191,Stargazer,Bandage,Sunken,6,2,4,1
192,Evincer,Flame Trap,Sunken,6,1,25,1
193,Titan,Risk-It Biscuit,Sunken,6,0,2,1
194,Stargazer,Bandage,Sunken,6,1,6,1
195,Hexblade,Spring Plume,Sunken,6,2,15,1
196,Titan,Risk-It Biscuit,Sunken,6,0,0,1
197,Stargazer,Bandage,Sunken,6,2,19,1
198,Evincer,Flame Trap,Sunken,6,0,0,1
199,Titan,Risk-It Biscuit,Sunken,6,2,17,1
200,Stargazer,Bandage,Sunken,6,0,10,1
201,Spectre,Spring Plume,Sunken,6,3,42,1
202,Hexblade,Spring Plume,Sunken,6,1,6,1
203,Titan,Risk-It Biscuit,Sunken,6,0,0,1
204,Titan,Risk-It Biscuit,Sunken,6,1,37,1
205,Hexblade,Spring Plume,Sunken,6,1,3,1
206,Stargazer,Bandage,Sunken,6,1,12,1
207,Champion,Vigor Flask,Sunken,6,1,23,1
208,Spectre,Spring Plume,Sunken,6,1,22,1
209,Titan,Risk-It Biscuit,Sunken,6,3,50,1
210,Stargazer,Bandage,Sunken,6,0,19,1
211,Spectre,Spring Plume,Sunken,6,0,24,1
212,Stargazer,Lava Cake,Sunken,6,0,6,1
213,Stargazer,Lava Cake,Sunken,6,1,34,1
214,Spectre,Spring Plume,Sunken,6,1,44,1
215,Stargazer,Bandage,Sunken,6,2,46,1
216,Titan,Risk-It Biscuit,Sunken,6,1,16,1
217,Evincer,Spring Plume,Sunken,6,0,2,1
218,Evincer,Accelerator,Sunken,6,2,19,1
219,Titan,Risk-It Biscuit,Sunken,6,1,67,1
220,Stargazer,Bandage,Sunken,6,1,36,0
221,Spectre,Spring Plume,Sunken,6,2,66,0
222,Champion,Smoke Screen,Sunken,6,0,4,1
223,Titan,Risk-It Biscuit,Sunken,6,0,0,1
224,Champion,Smoke Screen,Sunken,6,0,0,0
225,Titan,Risk-It Biscuit,Sunken,6,0,0,0
226,Dancer,Risk-It Biscuit,Polaris,7,0,10,1
227,Spectre,Spring Plume,Polaris,7,1,14,1
228,Spectre,Flame Trap,Polaris,7,0,77,1
229,Skirmisher,Echo Bolt,Polaris,7,1,8,1
230,Alchemist,Lava Cake,Polaris,7,1,2,1
231,Chronomancer,Lava Cake,Polaris,7,1,1,1
232,Frost Knight,Bandage,Polaris,7,2,18,1
233,Spectre,Spring Plume,Polaris,7,0,2,1
234,Chronomancer,Flame Trap,Polaris,7,0,2,1
235,Spectre,Flame Trap,Polaris,7,3,20,1
236,Frost Knight,Bandage,Polaris,7,2,80,1
237,Spectre,Spring Plume,Polaris,7,1,2,1
238,Spectre,Flame Trap,Polaris,7,0,6,1
239,Champion,Risk-It Biscuit,Polaris,7,1,21,1
240,Spectre,Flame Trap,Polaris,7,0,4,1
241,Cloudbreaker,Flame Trap,Polaris,7,1,41,1
242,Battlesmith,Smoke Screen,Polaris,7,1,32,1
243,Alchemist,Smoke Screen,Polaris,7,4,82,0
244,Frost Knight,Bandage,Polaris,7,0,7,1
245,Cloudbreaker,Flame Trap,Polaris,7,2,45,1
246,Battlesmith,Smoke Screen,Polaris,7,0,4,1
247,Frost Knight,Bandage,Polaris,7,2,58,1
248,Battlesmith,Smoke Screen,Polaris,7,0,8,1
249,Battlesmith,Smoke Screen,Polaris,7,0,0,1
250,Cloudbreaker,Flame Trap,Polaris,7,1,23,1
251,Frost Knight,Bandage,Polaris,7,0,2,0
252,Battlesmith,Vigor Flask,Polaris,7,0,2,0
253,Cloudbreaker,Flame Trap,Polaris,7,0,0,0
254,Ranger,Hedge Seed,Dustworks,8,1,15,1
255,Titan,Risk-It Biscuit,Dustworks,8,0,6,1
256,Hexblade,Lava Cake,Dustworks,8,1,16,1
257,Titan,Risk-It Biscuit,Dustworks,8,1,6,1
258,Ranger,Hedge Seed,Dustworks,8,2,30,1
259,Titan,Flame Trap,Dustworks,8,0,4,1
260,Hexblade,Lava Cake,Dustworks,8,0,8,1
261,Titan,Risk-It Biscuit,Dustworks,8,1,1,1
262,Hexblade,Lava Cake,Dustworks,8,4,54,1
263,Titan,Flame Trap,Dustworks,8,0,8,1
264,Titan,Risk-It Biscuit,Dustworks,8,0,6,1
265,Ranger,Hedge Seed,Dustworks,8,1,9,1
266,Titan,Flame Trap,Dustworks,8,0,49,1
267,Titan,Risk-It Biscuit,Dustworks,8,3,35,1
268,Ranger,Hedge Seed,Dustworks,8,0,7,1
269,Hexblade,Lava Cake,Dustworks,8,1,45,1
270,Chronomancer,Vigor Flask,Dustworks,8,2,22,1
271,Titan,Risk-It Biscuit,Dustworks,8,1,3,1
272,Battlesmith,Vigor Flask,Dustworks,8,0,35,1
273,Hexblade,Lava Cake,Dustworks,8,0,5,1
274,Titan,Risk-It Biscuit,Dustworks,8,2,35,1
275,Hexblade,Lava Cake,Dustworks,8,1,23,1
276,Chronomancer,Vigor Flask,Dustworks,8,1,15,1
277,Battlesmith,Vigor Flask,Dustworks,8,1,45,1
278,Titan,Risk-It Biscuit,Dustworks,8,2,76,1
279,Hexblade,Lava Cake,Dustworks,8,1,11,1
280,Artillery,Spring Plume,Dustworks,8,0,2,1
281,Battlesmith,Vigor Flask,Dustworks,8,1,38,1
282,Artillery,Spring Plume,Dustworks,8,0,4,1
283,Hexblade,Lava Cake,Dustworks,8,2,61,1
284,Artillery,Spring Plume,Dustworks,8,0,20,1
285,Battlesmith,Vigor Flask,Dustworks,8,1,8,1
286,Titan,Risk-It Biscuit,Dustworks,8,2,61,0
287,Frost Knight,Vigor Flask,Dustworks,8,0,6,0
288,Hexblade,Lava Cake,Dustworks,8,0,2,0
289,Battlesmith,Vigor Flask,Dustworks,8,0,2,0
290,Battlesmith,Spring Plume,Fissure,9,3,44,1
291,Artillery,Hedge Seed,Fissure,9,1,29,1
292,Frost Knight,Flame Trap,Fissure,9,0,2,1
293,Skirmisher,Bandage,Fissure,9,1,0,1
294,Frost Knight,Flame Trap,Fissure,9,0,2,1
295,Artillery,Hedge Seed,Fissure,9,0,8,1
296,Griefer,Lava Cake,Fissure,9,0,4,1
297,Griefer,Lava Cake,Fissure,9,1,24,1
298,Champion,Echo Bolt,Fissure,9,3,30,1
299,Artillery,Hedge Seed,Fissure,9,0,0,1
300,Battlesmith,Spring Plume,Fissure,9,0,1,1
301,Artillery,Hedge Seed,Fissure,9,2,40,1
302,Battlesmith,Lava Cake,Fissure,9,0,27,1
303,Dancer,Echo Bolt,Fissure,9,2,30,1
304,Griefer,Lava Cake,Fissure,9,0,4,1
305,Artillery,Hedge Seed,Fissure,9,0,18,1
306,Griefer,Lava Cake,Fissure,9,3,54,1
307,Battlesmith,Lava Cake,Fissure,9,0,11,1
308,Frost Knight,Lava Cake,Fissure,9,4,41,1
309,Artillery,Hedge Seed,Fissure,9,3,48,1
310,Battlesmith,Lava Cake,Fissure,9,0,0,1
311,Battlesmith,Lava Cake,Fissure,9,0,4,1
312,Griefer,Lava Cake,Fissure,9,1,35,1
313,Battlesmith,Lava Cake,Fissure,9,0,2,1
314,Frost Knight,Lava Cake,Fissure,9,1,46,1
315,Battlesmith,Lava Cake,Fissure,9,1,88,1
316,Griefer,Lava Cake,Fissure,9,1,15,1
317,Champion,Risk-It Biscuit,Fissure,9,1,19,1
318,Griefer,Lava Cake,Fissure,9,0,0,1
319,Frost Knight,Echo Bolt,Fissure,9,2,70,1
320,Griefer,Lava Cake,Fissure,9,1,11,1
321,Artillery,Hedge Seed,Fissure,9,0,2,1
322,Artillery,Hedge Seed,Fissure,9,2,69,1
323,Battlesmith,Lava Cake,Fissure,9,0,17,0
324,Griefer,Lava Cake,Fissure,9,0,5,1
325,Skirmisher,Flame Trap,Fissure,9,1,48,0
326,Griefer,Lava Cake,Fissure,9,1,2,1
327,Artillery,Hedge Seed,Fissure,9,0,0,0
328,Griefer,Lava Cake,Fissure,9,0,0,0
329,Battlesmith,Lava Cake,Crystal,10,0,17,1
330,Spectre,Flame Trap,Crystal,10,1,8,1
331,Titan,Lava Cake,Crystal,10,0,2,1
332,Artillery,Hedge Seed,Crystal,10,0,2,1
333,Titan,Risk-It Biscuit,Crystal,10,2,11,1
334,Artillery,Hedge Seed,Crystal,10,1,4,1
335,Artillery,Risk-It Biscuit,Crystal,10,2,14,1
336,Battlesmith,Lava Cake,Crystal,10,1,5,1
337,Titan,Risk-It Biscuit,Crystal,10,0,2,1
338,Artillery,Hedge Seed,Crystal,10,1,25,1
339,Battlesmith,Bandage,Crystal,10,2,12,1
340,Titan,Risk-It Biscuit,Crystal,10,2,39,1
341,Champion,Bandage,Crystal,10,1,9,1
342,Battlesmith,Bandage,Crystal,10,0,4,1
343,Hexblade,Bandage,Crystal,10,1,21,1
344,Battlesmith,Bandage,Crystal,10,0,11,1
345,Artillery,Hedge Seed,Crystal,10,2,25,1
346,Battlesmith,Bandage,Crystal,10,0,27,1
347,Titan,Risk-It Biscuit,Crystal,10,3,48,1
348,Battlesmith,Accelerator,Crystal,10,1,6,1
349,Artillery,Hedge Seed,Crystal,10,0,19,1
350,Ranger,Risk-It Biscuit,Crystal,10,1,18,1
351,Battlesmith,Bandage,Crystal,10,0,15,1
352,Skirmisher,Nox Bomb,Crystal,10,2,53,1
353,Artillery,Hedge Seed,Crystal,10,3,86,1
354,Titan,Risk-It Biscuit,Crystal,10,0,6,1
355,Battlesmith,Bandage,Crystal,10,0,28,1
356,Titan,Nox Bomb,Crystal,10,0,0,1
357,Skirmisher,Vigor Flask,Crystal,10,2,26,1
358,Titan,Risk-It Biscuit,Crystal,10,0,13,1
359,Battlesmith,Bandage,Crystal,10,1,79,1
360,Artillery,Hedge Seed,Crystal,10,1,2,1
361,Hexblade,Lava Cake,Crystal,10,2,54,1
362,Titan,Risk-It Biscuit,Crystal,10,1,20,1
363,Artillery,Hedge Seed,Crystal,10,0,1,1
364,Artillery,Hedge Seed,Crystal,10,2,24,0
365,Battlesmith,Bandage,Crystal,10,0,55,0
366,Dancer,Bandage,Crystal,10,0,0,0
367,Titan,Risk-It Biscuit,Crystal,10,0,0,0
368,Cloudbreaker,Flame Trap,Sunken,11,3,32,1
369,Battlesmith,Bandage,Sunken,11,0,4,1
370,Artillery,Hedge Seed,Sunken,11,1,12,1
371,Skirmisher,Risk-It Biscuit,Sunken,11,0,0,1
372,Battlesmith,Bandage,Sunken,11,1,2,1
373,Battlesmith,Vigor Flask,Sunken,11,0,4,1
374,Artillery,Hedge Seed,Sunken,11,1,31,1
375,Battlesmith,Bandage,Sunken,11,1,6,1
376,Battlesmith,Vigor Flask,Sunken,11,0,27,1
377,Battlesmith,Bandage,Sunken,11,1,4,1
378,Artillery,Echo Bolt,Sunken,11,4,55,1
379,Battlesmith,Bandage,Sunken,11,1,13,1
380,Artillery,Hedge Seed,Sunken,11,0,0,1
381,Artillery,Hedge Seed,Sunken,11,1,8,1
382,Battlesmith,Bandage,Sunken,11,1,19,1
383,Battlesmith,Vigor Flask,Sunken,11,1,20,1
384,Artillery,Hedge Seed,Sunken,11,0,27,1
385,Titan,Vigor Flask,Sunken,11,1,14,1
386,Battlesmith,Bandage,Sunken,11,2,66,1
387,Titan,Risk-It Biscuit,Sunken,11,0,0,1
388,Artillery,Hedge Seed,Sunken,11,1,15,1
389,Titan,Risk-It Biscuit,Sunken,11,1,36,1
390,Artillery,Echo Bolt,Sunken,11,3,52,1
391,Artillery,Hedge Seed,Sunken,11,1,10,1
392,Titan,Risk-It Biscuit,Sunken,11,0,0,1
393,Battlesmith,Bandage,Sunken,11,0,46,0
394,Titan,Risk-It Biscuit,Sunken,11,0,0,1
395,Titan,Risk-It Biscuit,Sunken,11,1,4,0
396,Hexblade,Echo Bolt,Sunken,11,0,0,0
397,Artillery,Hedge Seed,Sunken,11,0,0,0
398,Battlesmith,Bandage,Dustworks,12,0,12,1
399,Artillery,Smoke Screen,Dustworks,12,1,4,1
400,Artillery,Flame Trap,Dustworks,12,0,6,1
401,Titan,Risk-It Biscuit,Dustworks,12,7,106,0
402,Artillery,Smoke Screen,Dustworks,12,0,6,1
403,Spectre,Flame Trap,Dustworks,12,7,36,1
404,Artillery,Smoke Screen,Dustworks,12,0,2,1
405,Artillery,Smoke Screen,Dustworks,12,0,2,1
406,Artillery,Smoke Screen,Dustworks,12,0,3,1
407,Artillery,Smoke Screen,Dustworks,12,0,4,1
408,Artillery,Smoke Screen,Dustworks,12,0,4,1
409,Artillery,Smoke Screen,Dustworks,12,0,6,1
410,Artillery,Smoke Screen,Dustworks,12,0,0,1
411,Artillery,Hedge Seed,Dustworks,12,0,13,1
412,Artillery,Smoke Screen,Dustworks,12,0,2,1
413,Artillery,Smoke Screen,Dustworks,12,0,5,1
414,Artillery,Hedge Seed,Dustworks,12,0,8,1
415,Ranger,Hedge Seed,Dustworks,12,1,25,1
416,Artillery,Smoke Screen,Dustworks,12,1,6,0
417,Artillery,Hedge Seed,Dustworks,12,0,4,0
418,Dancer,Lava Cake,Dustworks,12,0,0,0
